branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
cKO/CRE	up	GO:0046903	secretion	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	72
cKO/CRE	up	GO:0051241	negative regulation of multicellular organismal process	8	ENSMUSG00000030223, Fgf3, Il6, Plaur, Procr, Serpine1, Slamf1, Ucn	70
WT/FF	up	GO:0051241	negative regulation of multicellular organismal process	8	Cited2, Fgf3, Il6, Plaur, Procr, Serpine1, Slamf1, Ucn	69
cKO/CRE	up	GO:0140352	export from cell	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	67
cKO/CRE	up	GO:0032940	secretion by cell	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	66
WT/FF	up	GO:0007267	cell-cell signaling	8	Cckbr, Gpr151, Grp, Il6, Plppr4, Rin1, Ucn, Vgf	59
cKO/CRE	up	GO:0051641	cellular localization	7	Ankrd1, ENSMUSG00000038115, ENSMUSG00000051209, Gpr151, Grp, Il6, Vgf	191
WT/FF	up	GO:0019538	protein metabolic process	7	Clca1, Dusp9, Ecel1, Il6, Plaur, Serpine1, Ucn	181
cKO/CRE	up	GO:0048468	cell development	7	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Il6, Plppr4, Slamf1, Ucn	171
WT/FF	up	GO:0048468	cell development	7	Ankrd1, Cited2, Il6, Plppr4, Satb2, Slamf1, Ucn	140
cKO/CRE	up	GO:0008219	cell death	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn	136
cKO/CRE	up	GO:0012501	programmed cell death	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn	136
cKO/CRE	up	GO:0006915	apoptotic process	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn	133
WT/FF	up	GO:0007399	nervous system development	7	Ankrd1, Cited2, Hmx3, Il6, Plppr4, Satb2, Ucn	128
WT/FF	up	GO:0009892	negative regulation of metabolic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	123
cKO/CRE	up	GO:0070887	cellular response to chemical stimulus	7	Ankrd1, Clca1, ENSMUSG00000030223, Grp, Il6, Serpine1, Slamf1	123
cKO/CRE	up	GO:0071705	nitrogen compound transport	7	Ankrd1, Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf	117
WT/FF	up	GO:0010605	negative regulation of macromolecule metabolic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	114
WT/FF	up	GO:0051128	regulation of cellular component organization	7	Ankrd1, Il6, Plaur, Plppr4, Serpine1, Slamf1, Ucn	112
WT/FF	up	GO:0008219	cell death	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	111
WT/FF	up	GO:0012501	programmed cell death	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	111
WT/FF	up	GO:0006915	apoptotic process	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	109
