branch	go_direction	native	name	rss_gene_count	example_rss_genes
cKO/CRE	up	GO:0010647	positive regulation of cell communication	7	Ankrd1, Cckbr, Grp, Il6, Plaur, Slamf1, Ucn
cKO/CRE	up	GO:0012501	programmed cell death	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0023056	positive regulation of signaling	7	Ankrd1, Cckbr, Grp, Il6, Plaur, Slamf1, Ucn
cKO/CRE	up	GO:0023061	signal release	7	Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf
cKO/CRE	up	GO:0048468	cell development	7	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Il6, Plppr4, Slamf1, Ucn
cKO/CRE	up	GO:0051240	positive regulation of multicellular organismal process	7	Adm2, Cckbr, Grp, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0051641	cellular localization	7	Ankrd1, ENSMUSG00000038115, ENSMUSG00000051209, Gpr151, Grp, Il6, Vgf
cKO/CRE	up	GO:0070887	cellular response to chemical stimulus	7	Ankrd1, Clca1, ENSMUSG00000030223, Grp, Il6, Serpine1, Slamf1
cKO/CRE	up	GO:0071705	nitrogen compound transport	7	Ankrd1, Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf
cKO/CRE	up	GO:0080134	regulation of response to stress	7	Ankrd1, Cckbr, ENSMUSG00000025279, Grp, Plaur, Serpine1, Ucn
WT/FF	up	GO:0006351	DNA-templated transcription	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn
WT/FF	up	GO:0006355	regulation of DNA-templated transcription	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn
WT/FF	up	GO:0006357	regulation of transcription by RNA polymerase II	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn
WT/FF	up	GO:0006366	transcription by RNA polymerase II	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn
WT/FF	up	GO:0006955	immune response	6	Bpifc, Grp, Il6, Krt6a, Sectm1b, Slamf1
WT/FF	up	GO:0007155	cell adhesion	6	Ccn4, Cited2, Il6, Plaur, Serpine1, Slamf1
WT/FF	up	GO:0007610	behavior	6	Adm2, Cckbr, Grp, Il6, Rin1, Ucn
WT/FF	up	GO:0008283	cell population proliferation	6	Cckbr, Ccn4, Cited2, Fgf3, Il6, Slamf1
WT/FF	up	GO:0009628	response to abiotic stimulus	6	Ankrd1, Cited2, Clca1, Gpr151, Ucn, Vgf
WT/FF	up	GO:0009719	response to endogenous stimulus	6	Ankrd1, Cited2, Fgf3, Il6, Ucn, Vgf
WT/FF	up	GO:0009887	animal organ morphogenesis	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Serpine1
WT/FF	up	GO:0009968	negative regulation of signal transduction	6	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b
WT/FF	up	GO:0010628	positive regulation of gene expression	6	Adm2, Cited2, Il6, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0016477	cell migration	6	Ccn4, Cited2, Satb2, Serpine1, Slamf1, Zpld2
WT/FF	up	GO:0019219	regulation of nucleobase-containing compound metabolic process	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn
